detected_at,source,symbol,trade_timestamp,value,value_label,baseline,delta_pct
2026-08-05T22:22:22.059311+00:00,equity,AAPL,2026-05-29T00:00:00-04:00,70026800.0,Volume (shares),45960256.25,52.4
2026-08-05T22:22:22.059311+00:00,equity,AAPL,2026-06-05T00:00:00-04:00,65310500.0,Volume (shares),46807260.0,39.5
2026-08-05T22:22:22.059311+00:00,equity,AAPL,2026-06-08T00:00:00-04:00,77949100.0,Volume (shares),47811570.0,63.0
2026-08-05T22:22:22.059311+00:00,equity,AAPL,2026-06-09T00:00:00-04:00,70108800.0,Volume (shares),49074385.0,42.9
2026-08-05T22:22:22.059311+00:00,equity,AAPL,2026-06-18T00:00:00-04:00,85962200.0,Volume (shares),50323125.0,70.8
2026-08-05T22:22:22.059311+00:00,equity,AAPL,2026-06-25T00:00:00-04:00,107013700.0,Volume (shares),53476590.0,100.1
2026-08-05T22:22:22.059311+00:00,equity,AAPL,2026-06-26T00:00:00-04:00,261775500.0,Volume (shares),56305730.0,364.9
2026-08-05T22:22:22.059311+00:00,equity,AAPL,2026-07-30T00:00:00-04:00,74817800.0,Volume (shares),49577715.0,50.9
2026-08-05T22:22:22.059311+00:00,equity,AAPL,2026-07-31T00:00:00-04:00,132489100.0,Volume (shares),50810395.0,160.8
2026-08-05T22:22:22.059311+00:00,equity,AAPL,2026-08-03T00:00:00-04:00,75052000.0,Volume (shares),53667210.0,39.8
2026-08-05T22:22:22.059311+00:00,equity,TSLA,2026-06-12T00:00:00-04:00,63514500.0,Volume (shares),46538220.0,36.5
2026-08-05T22:22:22.059311+00:00,equity,TSLA,2026-07-02T00:00:00-04:00,73717700.0,Volume (shares),47994795.0,53.6
2026-08-05T22:22:22.059311+00:00,equity,TSLA,2026-07-23T00:00:00-04:00,115606400.0,Volume (shares),38959480.0,196.7
2026-08-05T22:22:22.059311+00:00,equity,TSLA,2026-07-24T00:00:00-04:00,62760000.0,Volume (shares),42885730.0,46.3
2026-08-05T22:22:22.059311+00:00,equity,SPY,2026-06-05T00:00:00-04:00,93989400.0,Volume (shares),46822605.0,100.7
2026-08-05T22:22:22.059311+00:00,equity,SPY,2026-06-09T00:00:00-04:00,87683500.0,Volume (shares),49040445.0,78.8
2026-08-05T22:22:22.059311+00:00,equity,SPY,2026-06-11T00:00:00-04:00,86330500.0,Volume (shares),51531220.0,67.5
2026-08-05T22:22:22.059311+00:00,equity,SPY,2026-06-17T00:00:00-04:00,85945200.0,Volume (shares),55177070.0,55.8
2026-08-05T22:22:22.059311+00:00,equity,SPY,2026-06-18T00:00:00-04:00,80875700.0,Volume (shares),56761535.0,42.5
2026-08-05T22:22:22.059311+00:00,equity,SPY,2026-07-29T00:00:00-04:00,70697200.0,Volume (shares),46030885.0,53.6
2026-08-05T22:22:22.059311+00:00,equity,SPY,2026-07-30T00:00:00-04:00,66811300.0,Volume (shares),46784445.0,42.8
2026-08-05T22:22:22.059311+00:00,equity,SPY,2026-07-31T00:00:00-04:00,62445900.0,Volume (shares),47769965.0,30.7
2026-08-05T22:22:22.059311+00:00,equity,SPY,2026-08-04T00:00:00-04:00,69154800.0,Volume (shares),48482580.0,42.6
2026-08-05T22:22:22.059311+00:00,equity,XOM,2026-05-15T00:00:00-04:00,27882400.0,Volume (shares),17283342.85714286,61.3
2026-08-05T22:22:22.059311+00:00,equity,XOM,2026-05-29T00:00:00-04:00,27959900.0,Volume (shares),17592368.75,58.9
2026-08-05T22:22:22.059311+00:00,equity,XOM,2026-06-15T00:00:00-04:00,23631400.0,Volume (shares),17001755.0,39.0
2026-08-05T22:22:22.059311+00:00,equity,XOM,2026-06-18T00:00:00-04:00,48063400.0,Volume (shares),16529595.0,190.8
2026-08-05T22:22:22.059311+00:00,equity,XOM,2026-06-30T00:00:00-04:00,28784000.0,Volume (shares),17625270.0,63.3
2026-08-05T22:22:22.059311+00:00,equity,CVX,2026-05-20T00:00:00-04:00,14564900.0,Volume (shares),10404390.0,40.0
2026-08-05T22:22:22.059311+00:00,equity,CVX,2026-05-26T00:00:00-04:00,14264600.0,Volume (shares),10374584.615384616,37.5
2026-08-05T22:22:22.059311+00:00,equity,CVX,2026-05-29T00:00:00-04:00,13886500.0,Volume (shares),10456400.0,32.8
2026-08-05T22:22:22.059311+00:00,equity,CVX,2026-06-18T00:00:00-04:00,19146100.0,Volume (shares),8994185.0,112.9
2026-08-05T22:22:22.059311+00:00,equity,CVX,2026-06-26T00:00:00-04:00,13102200.0,Volume (shares),9037485.0,45.0
2026-08-05T22:22:22.059311+00:00,equity,CVX,2026-06-30T00:00:00-04:00,19428800.0,Volume (shares),9002685.0,115.8
2026-08-05T22:22:22.059311+00:00,equity,CVX,2026-07-31T00:00:00-04:00,9958100.0,Volume (shares),7572510.0,31.5
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-06-18T00:00:00+01:00,0.5151017339705497,"Day range (% of open, proxy for volume)",0.21960097408224782,134.6
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-06-22T00:00:00+01:00,0.5023784761589513,"Day range (% of open, proxy for volume)",0.23628504459562735,112.6
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-06-30T00:00:00+01:00,0.4514592489400032,"Day range (% of open, proxy for volume)",0.24068434646881867,87.6
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-07-01T00:00:00+01:00,0.3332055670094969,"Day range (% of open, proxy for volume)",0.2551452227677006,30.6
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-07-02T00:00:00+01:00,1.1664652870591126,"Day range (% of open, proxy for volume)",0.25674033877077046,354.3
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-07-03T00:00:00+01:00,0.541503395847122,"Day range (% of open, proxy for volume)",0.3065921160218991,76.6
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-07-06T00:00:00+01:00,0.593855627195222,"Day range (% of open, proxy for volume)",0.31910424614989324,86.1
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-07-10T00:00:00+01:00,0.6942426801100539,"Day range (% of open, proxy for volume)",0.3565551772617309,94.7
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-07-23T00:00:00+01:00,0.6040428849581504,"Day range (% of open, proxy for volume)",0.37697716650430835,60.2
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-07-30T00:00:00+01:00,3.5154013726021125,"Day range (% of open, proxy for volume)",0.3894963207966283,802.6
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-07-31T00:00:00+01:00,1.353485323302492,"Day range (% of open, proxy for volume)",0.5069431250737783,167.0
2026-08-05T22:22:22.059311+00:00,forex,USDJPY=X,2026-08-03T00:00:00+01:00,1.656968778398931,"Day range (% of open, proxy for volume)",0.5475422214465467,202.6
2026-08-05T22:22:22.059311+00:00,forex,EURUSD=X,2026-05-28T00:00:00+01:00,0.6046226275021207,"Day range (% of open, proxy for volume)",0.4057681582910066,49.0
2026-08-05T22:22:22.059311+00:00,forex,EURUSD=X,2026-06-05T00:00:00+01:00,0.9850900135545331,"Day range (% of open, proxy for volume)",0.40894867865239465,140.9
2026-08-05T22:22:22.059311+00:00,forex,EURUSD=X,2026-06-18T00:00:00+01:00,0.6585404018243864,"Day range (% of open, proxy for volume)",0.3974451445352085,65.7
2026-08-05T22:22:22.059311+00:00,forex,EURUSD=X,2026-06-26T00:00:00+01:00,0.6957821609246044,"Day range (% of open, proxy for volume)",0.4452127970316739,56.3
2026-08-05T22:22:22.059311+00:00,forex,EURUSD=X,2026-07-02T00:00:00+01:00,0.8464299634132542,"Day range (% of open, proxy for volume)",0.46592142771511835,81.7
2026-08-05T22:22:22.059311+00:00,forex,EURUSD=X,2026-07-14T00:00:00+01:00,0.7251818426195181,"Day range (% of open, proxy for volume)",0.4516360679903776,60.6
2026-08-05T22:22:22.059311+00:00,forex,EURUSD=X,2026-07-23T00:00:00+01:00,0.6366967102976174,"Day range (% of open, proxy for volume)",0.41051055387716084,55.1
2026-08-05T22:22:22.059311+00:00,forex,EURUSD=X,2026-07-30T00:00:00+01:00,0.8672589627154529,"Day range (% of open, proxy for volume)",0.3869661338267938,124.1
2026-08-05T22:22:22.059311+00:00,forex,EURUSD=X,2026-07-31T00:00:00+01:00,0.5809644473173885,"Day range (% of open, proxy for volume)",0.3880075837919037,49.7
2026-08-05T22:22:22.059311+00:00,forex,GBPUSD=X,2026-05-12T00:00:00+01:00,0.7456195247346051,"Day range (% of open, proxy for volume)",0.4946588898863256,50.7
2026-08-05T22:22:22.059311+00:00,forex,GBPUSD=X,2026-05-18T00:00:00+01:00,0.898989893562047,"Day range (% of open, proxy for volume)",0.519657114530925,73.0
2026-08-05T22:22:22.059311+00:00,forex,GBPUSD=X,2026-06-05T00:00:00+01:00,0.9337037317247218,"Day range (% of open, proxy for volume)",0.4831945629200377,93.2
2026-08-05T22:22:22.059311+00:00,forex,GBPUSD=X,2026-06-18T00:00:00+01:00,0.8955678294094392,"Day range (% of open, proxy for volume)",0.4325023600476065,107.1
2026-08-05T22:22:22.059311+00:00,forex,GBPUSD=X,2026-06-22T00:00:00+01:00,0.6584703988412914,"Day range (% of open, proxy for volume)",0.467983195094892,40.7
2026-08-05T22:22:22.059311+00:00,forex,GBPUSD=X,2026-07-02T00:00:00+01:00,0.820259177194906,"Day range (% of open, proxy for volume)",0.5015072827957368,63.6
2026-08-05T22:22:22.059311+00:00,forex,GBPUSD=X,2026-07-14T00:00:00+01:00,0.7063912091554244,"Day range (% of open, proxy for volume)",0.46742625402968563,51.1
2026-08-05T22:22:22.059311+00:00,forex,GBPUSD=X,2026-07-15T00:00:00+01:00,0.8590042911946408,"Day range (% of open, proxy for volume)",0.4842528212924021,77.4
2026-08-05T22:22:22.059311+00:00,forex,GBPUSD=X,2026-07-21T00:00:00+01:00,0.7026707666222999,"Day range (% of open, proxy for volume)",0.47114433768045505,49.1
2026-08-05T22:22:22.059311+00:00,forex,GBPUSD=X,2026-07-23T00:00:00+01:00,0.6992249143915812,"Day range (% of open, proxy for volume)",0.47065834111678007,48.6
2026-08-05T22:22:22.059311+00:00,forex,GBPUSD=X,2026-07-30T00:00:00+01:00,0.9681020422194039,"Day range (% of open, proxy for volume)",0.4551633519653878,112.7
2026-08-05T22:22:45.455119+00:00,equity,AAPL,2026-05-29T00:00:00-04:00,70026800.0,Volume (shares),45960256.25,52.4
2026-08-05T22:22:45.455119+00:00,equity,AAPL,2026-06-05T00:00:00-04:00,65310500.0,Volume (shares),46807260.0,39.5
2026-08-05T22:22:45.455119+00:00,equity,AAPL,2026-06-08T00:00:00-04:00,77949100.0,Volume (shares),47811570.0,63.0
2026-08-05T22:22:45.455119+00:00,equity,AAPL,2026-06-09T00:00:00-04:00,70108800.0,Volume (shares),49074385.0,42.9
2026-08-05T22:22:45.455119+00:00,equity,AAPL,2026-06-18T00:00:00-04:00,85962200.0,Volume (shares),50323125.0,70.8
2026-08-05T22:22:45.455119+00:00,equity,AAPL,2026-06-25T00:00:00-04:00,107013700.0,Volume (shares),53476590.0,100.1
2026-08-05T22:22:45.455119+00:00,equity,AAPL,2026-06-26T00:00:00-04:00,261775500.0,Volume (shares),56305730.0,364.9
2026-08-05T22:22:45.455119+00:00,equity,AAPL,2026-07-30T00:00:00-04:00,74817800.0,Volume (shares),49577715.0,50.9
2026-08-05T22:22:45.455119+00:00,equity,AAPL,2026-07-31T00:00:00-04:00,132489100.0,Volume (shares),50810395.0,160.8
2026-08-05T22:22:45.455119+00:00,equity,AAPL,2026-08-03T00:00:00-04:00,75052000.0,Volume (shares),53667210.0,39.8
2026-08-05T22:22:45.455119+00:00,equity,TSLA,2026-06-12T00:00:00-04:00,63514500.0,Volume (shares),46538220.0,36.5
2026-08-05T22:22:45.455119+00:00,equity,TSLA,2026-07-02T00:00:00-04:00,73717700.0,Volume (shares),47994795.0,53.6
2026-08-05T22:22:45.455119+00:00,equity,TSLA,2026-07-23T00:00:00-04:00,115606400.0,Volume (shares),38959480.0,196.7
2026-08-05T22:22:45.455119+00:00,equity,TSLA,2026-07-24T00:00:00-04:00,62760000.0,Volume (shares),42885730.0,46.3
2026-08-05T22:22:45.455119+00:00,equity,SPY,2026-06-05T00:00:00-04:00,93989400.0,Volume (shares),46822605.0,100.7
2026-08-05T22:22:45.455119+00:00,equity,SPY,2026-06-09T00:00:00-04:00,87683500.0,Volume (shares),49040445.0,78.8
2026-08-05T22:22:45.455119+00:00,equity,SPY,2026-06-11T00:00:00-04:00,86330500.0,Volume (shares),51531220.0,67.5
2026-08-05T22:22:45.455119+00:00,equity,SPY,2026-06-17T00:00:00-04:00,85945200.0,Volume (shares),55177070.0,55.8
2026-08-05T22:22:45.455119+00:00,equity,SPY,2026-06-18T00:00:00-04:00,80875700.0,Volume (shares),56761535.0,42.5
2026-08-05T22:22:45.455119+00:00,equity,SPY,2026-07-29T00:00:00-04:00,70697200.0,Volume (shares),46030885.0,53.6
2026-08-05T22:22:45.455119+00:00,equity,SPY,2026-07-30T00:00:00-04:00,66811300.0,Volume (shares),46784445.0,42.8
2026-08-05T22:22:45.455119+00:00,equity,SPY,2026-07-31T00:00:00-04:00,62445900.0,Volume (shares),47769965.0,30.7
2026-08-05T22:22:45.455119+00:00,equity,SPY,2026-08-04T00:00:00-04:00,69154800.0,Volume (shares),48482580.0,42.6
2026-08-05T22:22:45.455119+00:00,equity,XOM,2026-05-15T00:00:00-04:00,27882400.0,Volume (shares),17283342.85714286,61.3
2026-08-05T22:22:45.455119+00:00,equity,XOM,2026-05-29T00:00:00-04:00,27959900.0,Volume (shares),17592368.75,58.9
2026-08-05T22:22:45.455119+00:00,equity,XOM,2026-06-15T00:00:00-04:00,23631400.0,Volume (shares),17001755.0,39.0
2026-08-05T22:22:45.455119+00:00,equity,XOM,2026-06-18T00:00:00-04:00,48063400.0,Volume (shares),16529595.0,190.8
2026-08-05T22:22:45.455119+00:00,equity,XOM,2026-06-30T00:00:00-04:00,28784000.0,Volume (shares),17625270.0,63.3
2026-08-05T22:22:45.455119+00:00,equity,CVX,2026-05-20T00:00:00-04:00,14564900.0,Volume (shares),10404390.0,40.0
2026-08-05T22:22:45.455119+00:00,equity,CVX,2026-05-26T00:00:00-04:00,14264600.0,Volume (shares),10374584.615384616,37.5
2026-08-05T22:22:45.455119+00:00,equity,CVX,2026-05-29T00:00:00-04:00,13886500.0,Volume (shares),10456400.0,32.8
2026-08-05T22:22:45.455119+00:00,equity,CVX,2026-06-18T00:00:00-04:00,19146100.0,Volume (shares),8994185.0,112.9
2026-08-05T22:22:45.455119+00:00,equity,CVX,2026-06-26T00:00:00-04:00,13102200.0,Volume (shares),9037485.0,45.0
2026-08-05T22:22:45.455119+00:00,equity,CVX,2026-06-30T00:00:00-04:00,19428800.0,Volume (shares),9002685.0,115.8
2026-08-05T22:22:45.455119+00:00,equity,CVX,2026-07-31T00:00:00-04:00,9958100.0,Volume (shares),7572510.0,31.5
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-06-18T00:00:00+01:00,0.5151017339705497,"Day range (% of open, proxy for volume)",0.21960097408224782,134.6
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-06-22T00:00:00+01:00,0.5023784761589513,"Day range (% of open, proxy for volume)",0.23628504459562735,112.6
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-06-30T00:00:00+01:00,0.4514592489400032,"Day range (% of open, proxy for volume)",0.24068434646881867,87.6
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-07-01T00:00:00+01:00,0.3332055670094969,"Day range (% of open, proxy for volume)",0.2551452227677006,30.6
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-07-02T00:00:00+01:00,1.1664652870591126,"Day range (% of open, proxy for volume)",0.25674033877077046,354.3
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-07-03T00:00:00+01:00,0.541503395847122,"Day range (% of open, proxy for volume)",0.3065921160218991,76.6
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-07-06T00:00:00+01:00,0.593855627195222,"Day range (% of open, proxy for volume)",0.31910424614989324,86.1
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-07-10T00:00:00+01:00,0.6942426801100539,"Day range (% of open, proxy for volume)",0.3565551772617309,94.7
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-07-23T00:00:00+01:00,0.6040428849581504,"Day range (% of open, proxy for volume)",0.37697716650430835,60.2
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-07-30T00:00:00+01:00,3.5154013726021125,"Day range (% of open, proxy for volume)",0.3894963207966283,802.6
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-07-31T00:00:00+01:00,1.353485323302492,"Day range (% of open, proxy for volume)",0.5069431250737783,167.0
2026-08-05T22:22:45.455119+00:00,forex,USDJPY=X,2026-08-03T00:00:00+01:00,1.656968778398931,"Day range (% of open, proxy for volume)",0.5475422214465467,202.6
2026-08-05T22:22:45.455119+00:00,forex,EURUSD=X,2026-05-28T00:00:00+01:00,0.6046226275021207,"Day range (% of open, proxy for volume)",0.4057681582910066,49.0
2026-08-05T22:22:45.455119+00:00,forex,EURUSD=X,2026-06-05T00:00:00+01:00,0.9850900135545331,"Day range (% of open, proxy for volume)",0.40894867865239465,140.9
2026-08-05T22:22:45.455119+00:00,forex,EURUSD=X,2026-06-18T00:00:00+01:00,0.6585404018243864,"Day range (% of open, proxy for volume)",0.3974451445352085,65.7
2026-08-05T22:22:45.455119+00:00,forex,EURUSD=X,2026-06-26T00:00:00+01:00,0.6957821609246044,"Day range (% of open, proxy for volume)",0.4452127970316739,56.3
2026-08-05T22:22:45.455119+00:00,forex,EURUSD=X,2026-07-02T00:00:00+01:00,0.8464299634132542,"Day range (% of open, proxy for volume)",0.46592142771511835,81.7
2026-08-05T22:22:45.455119+00:00,forex,EURUSD=X,2026-07-14T00:00:00+01:00,0.7251818426195181,"Day range (% of open, proxy for volume)",0.4516360679903776,60.6
2026-08-05T22:22:45.455119+00:00,forex,EURUSD=X,2026-07-23T00:00:00+01:00,0.6366967102976174,"Day range (% of open, proxy for volume)",0.41051055387716084,55.1
2026-08-05T22:22:45.455119+00:00,forex,EURUSD=X,2026-07-30T00:00:00+01:00,0.8672589627154529,"Day range (% of open, proxy for volume)",0.3869661338267938,124.1
2026-08-05T22:22:45.455119+00:00,forex,EURUSD=X,2026-07-31T00:00:00+01:00,0.5809644473173885,"Day range (% of open, proxy for volume)",0.3880075837919037,49.7
2026-08-05T22:22:45.455119+00:00,forex,GBPUSD=X,2026-05-12T00:00:00+01:00,0.7456195247346051,"Day range (% of open, proxy for volume)",0.4946588898863256,50.7
2026-08-05T22:22:45.455119+00:00,forex,GBPUSD=X,2026-05-18T00:00:00+01:00,0.898989893562047,"Day range (% of open, proxy for volume)",0.519657114530925,73.0
2026-08-05T22:22:45.455119+00:00,forex,GBPUSD=X,2026-06-05T00:00:00+01:00,0.9337037317247218,"Day range (% of open, proxy for volume)",0.4831945629200377,93.2
2026-08-05T22:22:45.455119+00:00,forex,GBPUSD=X,2026-06-18T00:00:00+01:00,0.8955678294094392,"Day range (% of open, proxy for volume)",0.4325023600476065,107.1
2026-08-05T22:22:45.455119+00:00,forex,GBPUSD=X,2026-06-22T00:00:00+01:00,0.6584703988412914,"Day range (% of open, proxy for volume)",0.467983195094892,40.7
2026-08-05T22:22:45.455119+00:00,forex,GBPUSD=X,2026-07-02T00:00:00+01:00,0.820259177194906,"Day range (% of open, proxy for volume)",0.5015072827957368,63.6
2026-08-05T22:22:45.455119+00:00,forex,GBPUSD=X,2026-07-14T00:00:00+01:00,0.7063912091554244,"Day range (% of open, proxy for volume)",0.46742625402968563,51.1
2026-08-05T22:22:45.455119+00:00,forex,GBPUSD=X,2026-07-15T00:00:00+01:00,0.8590042911946408,"Day range (% of open, proxy for volume)",0.4842528212924021,77.4
2026-08-05T22:22:45.455119+00:00,forex,GBPUSD=X,2026-07-21T00:00:00+01:00,0.7026707666222999,"Day range (% of open, proxy for volume)",0.47114433768045505,49.1
2026-08-05T22:22:45.455119+00:00,forex,GBPUSD=X,2026-07-23T00:00:00+01:00,0.6992249143915812,"Day range (% of open, proxy for volume)",0.47065834111678007,48.6
2026-08-05T22:22:45.455119+00:00,forex,GBPUSD=X,2026-07-30T00:00:00+01:00,0.9681020422194039,"Day range (% of open, proxy for volume)",0.4551633519653878,112.7
2026-08-05T22:31:17.606975+00:00,equity,RELIANCE.NS,2026-05-12T00:00:00+05:30,24357500.0,Volume (shares),16301384.4,49.4
2026-08-05T22:31:17.606975+00:00,equity,RELIANCE.NS,2026-05-29T00:00:00+05:30,42634247.0,Volume (shares),14603863.888888888,191.9
2026-08-05T22:31:17.606975+00:00,equity,RELIANCE.NS,2026-06-02T00:00:00+05:30,23302785.0,Volume (shares),15810220.0,47.4
2026-08-05T22:31:17.606975+00:00,equity,RELIANCE.NS,2026-06-04T00:00:00+05:30,23474327.0,Volume (shares),16087717.55,45.9
2026-08-05T22:31:17.606975+00:00,equity,RELIANCE.NS,2026-06-09T00:00:00+05:30,23620214.0,Volume (shares),16788343.25,40.7
2026-08-05T22:31:17.606975+00:00,equity,RELIANCE.NS,2026-06-19T00:00:00+05:30,24887034.0,Volume (shares),16382727.5,51.9
2026-08-05T22:31:17.606975+00:00,equity,RELIANCE.NS,2026-07-08T00:00:00+05:30,19960868.0,Volume (shares),13488409.85,48.0
2026-08-05T22:31:17.606975+00:00,equity,RELIANCE.NS,2026-07-17T00:00:00+05:30,18302218.0,Volume (shares),12610644.1,45.1
2026-08-05T22:31:17.606975+00:00,equity,RELIANCE.NS,2026-08-05T00:00:00+05:30,24813341.0,Volume (shares),11740412.5,111.3
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-05-12T00:00:00+05:30,6347884.0,Volume (shares),3626065.8,75.1
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-05-14T00:00:00+05:30,5633313.0,Volume (shares),3950008.0,42.6
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-05-19T00:00:00+05:30,10394707.0,Volume (shares),4046734.2,156.9
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-05-29T00:00:00+05:30,16331582.0,Volume (shares),3825318.388888889,326.9
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-06-01T00:00:00+05:30,7505095.0,Volume (shares),4483542.7894736845,67.4
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-06-02T00:00:00+05:30,11306127.0,Volume (shares),4634620.4,143.9
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-06-03T00:00:00+05:30,15660062.0,Volume (shares),5030640.75,211.3
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-06-19T00:00:00+05:30,13286502.0,Volume (shares),5230135.4,154.0
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-07-02T00:00:00+05:30,6040621.0,Volume (shares),4514668.2,33.8
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-07-10T00:00:00+05:30,6714551.0,Volume (shares),4432844.35,51.5
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-07-13T00:00:00+05:30,12382622.0,Volume (shares),4662339.1,165.6
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-07-14T00:00:00+05:30,9546290.0,Volume (shares),5114616.05,86.6
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-07-28T00:00:00+05:30,8248513.0,Volume (shares),4858039.8,69.8
2026-08-05T22:31:17.606975+00:00,equity,TCS.NS,2026-07-29T00:00:00+05:30,7169419.0,Volume (shares),4928044.9,45.5
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-05-12T00:00:00+05:30,16891948.0,Volume (shares),8990823.2,87.9
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-05-14T00:00:00+05:30,16914842.0,Volume (shares),9787167.857142856,72.8
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-05-15T00:00:00+05:30,17482450.0,Volume (shares),10678127.125,63.7
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-05-19T00:00:00+05:30,32175705.0,Volume (shares),11500384.4,179.8
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-05-29T00:00:00+05:30,69085430.0,Volume (shares),11186579.555555556,517.6
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-06-01T00:00:00+05:30,19439331.0,Volume (shares),14233887.47368421,36.6
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-06-02T00:00:00+05:30,36032600.0,Volume (shares),14494159.65,148.6
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-06-19T00:00:00+05:30,45665442.0,Volume (shares),14030824.95,225.5
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-06-30T00:00:00+05:30,24128263.0,Volume (shares),14075792.3,71.4
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-07-02T00:00:00+05:30,18741111.0,Volume (shares),13205759.4,41.9
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-07-07T00:00:00+05:30,18866296.0,Volume (shares),13499481.1,39.8
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-07-13T00:00:00+05:30,20994760.0,Volume (shares),14165477.45,48.2
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-07-24T00:00:00+05:30,29036900.0,Volume (shares),12073314.0,140.5
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-07-28T00:00:00+05:30,28100895.0,Volume (shares),13568931.85,107.1
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-07-29T00:00:00+05:30,34400369.0,Volume (shares),13767563.45,149.9
2026-08-05T22:31:17.606975+00:00,equity,INFY.NS,2026-07-30T00:00:00+05:30,22630218.0,Volume (shares),14835682.8,52.5
2026-08-05T22:31:17.606975+00:00,equity,HDFCBANK.NS,2026-05-14T00:00:00+05:30,50992358.0,Volume (shares),38942050.71428572,30.9
2026-08-05T22:31:17.606975+00:00,equity,HDFCBANK.NS,2026-05-27T00:00:00+05:30,63680153.0,Volume (shares),34994297.25,82.0
2026-08-05T22:31:17.606975+00:00,equity,HDFCBANK.NS,2026-05-29T00:00:00+05:30,101299431.0,Volume (shares),34643828.277777776,192.4
2026-08-05T22:31:17.606975+00:00,equity,HDFCBANK.NS,2026-06-29T00:00:00+05:30,46695977.0,Volume (shares),33993994.35,37.4
2026-08-05T22:31:17.606975+00:00,equity,HDFCBANK.NS,2026-06-30T00:00:00+05:30,45778356.0,Volume (shares),33928971.15,34.9
2026-08-05T22:31:17.606975+00:00,equity,HDFCBANK.NS,2026-07-06T00:00:00+05:30,63203327.0,Volume (shares),33112695.25,90.9
2026-08-05T22:31:17.606975+00:00,equity,HDFCBANK.NS,2026-07-07T00:00:00+05:30,57611729.0,Volume (shares),35195326.6,63.7
2026-08-05T22:31:17.606975+00:00,equity,HDFCBANK.NS,2026-07-20T00:00:00+05:30,56061789.0,Volume (shares),32074211.3,74.8
2026-08-05T22:31:17.606975+00:00,equity,HDFCBANK.NS,2026-08-05T00:00:00+05:30,60031343.0,Volume (shares),28851737.6,108.1
2026-08-05T22:31:17.606975+00:00,equity,ICICIBANK.NS,2026-05-19T00:00:00+05:30,38929053.0,Volume (shares),18530505.2,110.1
2026-08-05T22:31:17.606975+00:00,equity,ICICIBANK.NS,2026-05-29T00:00:00+05:30,31007884.0,Volume (shares),17544626.611111112,76.7
2026-08-05T22:31:17.606975+00:00,equity,ICICIBANK.NS,2026-06-09T00:00:00+05:30,22368579.0,Volume (shares),16320847.4,37.1
